word,frequency,property
smokey ,14,artist
green ,12,default
dis poem,12,album
worth,12,default
bob dylan,10,artist
otis ,10,artist
yazoo ,10,artist
hard beats,10,genre
turning point,10,default
gypsy brass,10,genre
double album,10,production
target audience,10,default
closet chapter,10,default
george jones,8,artist
dead,8,default
dj shadow,8,artist
sonny rollins,8,artist
hammond b-3,8,production
official debut,8,production
lead track,8,production
mild,8,default
youssou n'dour,8,artist
ideal introduction,8,default
dr. john,8,artist
racial identity,8,default
hit parade,8,production
fist city,8,album
classic blues,8,genre
swear,8,default
elizabeth nelson,8,artist
linda ronstadt,8,artist
roy ayers,8,artist
pink flag,8,album
kenny gamble,8,artist
slow songs,8,genre
lisa lee,8,arat
young things,8,default
winston rodney,8,artist
leon huff,8,artist
induku zethu,8,artist
joy division,8,artist
joan baez,8,artist
paul weller,8,artist
blender,8,production
side story,8,default
mississippi sheiks,8,artist
serious stuff,8,default
